palestra,formacao_ouvinte,Presentes
1,Biologo,1
1,Doutor,1
1,Doutorado,14
1,Graduacao,14
1,Licenciatura,3
1,Mestrado,7
1,Mestre,1
1,PosDoc,8
1,Professor,4
1,Researcher,1
2,Biologo,1
2,Doutorado,5
2,Graduacao,4
2,Mestrado,4
2,PosDoc,4
2,Professor,2
2,Researcher,1
3,Biologo,1
3,Doutorado,4
3,Graduacao,19
3,Mestrado,4
3,PosDoc,6
3,Professor,3
3,Researcher,1
3,NA,1
4,Doutor,1
4,Doutorado,10
4,Graduacao,10
4,Mestrado,11
4,Mestre,2
4,PosDoc,9
4,Professor,4
5,Doutorado,6
5,Graduacao,3
5,Mestrado,1
5,PosDoc,6
5,Professor,2
6,Doutorado,2
6,Graduacao,2
6,Mestrado,1
6,PosDoc,8
6,Professor,3
6,Researcher,1
7,Doutorado,7
7,Graduacao,1
7,Mestrado,2
7,PosDoc,7
7,Professor,7
8,Doutorado,8
8,Graduacao,5
8,Mestrado,1
8,PosDoc,5
8,Professor,5
8,Researcher,1
8,NA,2
9,Doutorado,3
9,PosDoc,6
9,Professor,5
9,NA,2
10,Doutorado,9
10,Graduacao,14
10,Licenciatura,2
10,Mestrado,10
10,Mestre,1
10,PosDoc,4
10,Professor,6
10,NA,1
11,Graduacao,2
11,Mestrado,4
11,PosDoc,4
11,Professor,3
12,Doutorado,5
12,Mestrado,3
12,PosDoc,4
12,Professor,4
13,Biologo,2
13,Doutorado,5
13,Graduacao,1
13,Mestrado,1
13,Mestre,1
13,PosDoc,5
13,Professor,6
13,Researcher,1
13,NA,5
14,Doutorado,6
14,Graduacao,17
14,Mestrado,14
14,PosDoc,6
14,Professor,4
14,Researcher,3
16,Doutorado,4
16,Graduacao,8
16,Licenciatura,2
16,Mestrado,3
16,Mestre,1
16,PosDoc,1
16,Professor,5
16,Researcher,1
16,NA,1
18,Doutorado,2
18,Graduacao,10
18,Mestrado,2
18,PosDoc,2
18,Professor,4
18,NA,2
19,Doutorado,7
19,Graduacao,8
19,Mestrado,2
19,PosDoc,3
19,Professor,2
20,Doutorado,14
20,Graduacao,8
20,Licenciatura,2
20,Mestrado,9
20,PosDoc,6
20,Professor,7
