palestra,laboratorio_ouvinte,Presentes
1,Ecologia Vegetal,5
1,Fisiologia Vegetal,1
1,IIS,2
1,Inseto-Planta,4
1,LEAV,1
1,LECP,4
1,LEI,1
1,Limnologia,5
1,Maja UERJ,1
1,Vertebrados,13
1,NA,17
2,Ecologia Vegetal,3
2,Inseto-Planta,2
2,LECP,1
2,LEI,2
2,Limnologia,1
2,Vertebrados,8
2,NA,4
3,Ecologia Vegetal,1
3,Inseto-Planta,5
3,LEI,2
3,Limnologia,3
3,Vertebrados,9
3,NA,19
4,Ecologia Vegetal,5
4,IIS,3
4,Inseto-Planta,3
4,LECP,2
4,LEI,2
4,Limnologia,7
4,Peixes,4
4,Polinizacao,1
4,Vertebrados,12
4,NA,8
5,Ecologia Vegetal,2
5,Inseto-Planta,2
5,LEI,1
5,LETS,1
5,Limnologia,4
5,Vertebrados,5
5,NA,3
6,Ecologia Vegetal,3
6,LETS,1
6,Limnologia,3
6,Vertebrados,7
6,NA,3
7,Ecologia Vegetal,2
7,Entomologia,1
7,Inseto-Planta,1
7,LEI,3
7,Limnologia,8
7,Polinizacao,1
7,Vertebrados,6
7,NA,2
8,Biogeoquimica,1
8,Ecologia Vegetal,2
8,Entomologia,1
8,Inseto-Planta,4
8,LBTP,1
8,Limnologia,5
8,Vertebrados,8
8,NA,5
9,Ecologia Vegetal,2
9,Entomologia,1
9,LABPMR,2
9,Limnologia,2
9,Polychaeta,1
9,Vertebrados,8
10,Ecologia Vegetal,2
10,Entomologia,2
10,Inseto-Planta,4
10,LECP,3
10,Limnologia,8
10,Peixes,5
10,Vertebrados,8
10,NA,15
11,Biodiv Marinha,1
11,Inseto-Planta,2
11,LEI,1
11,Limnologia,2
11,Peixes,1
11,Vertebrados,6
12,Inseto-Planta,3
12,Limnologia,6
12,Vertebrados,7
13,IIS,1
13,Inseto-Planta,3
13,LEI,4
13,Limnologia,5
13,Polinizacao,2
13,Vertebrados,5
13,NA,7
14,Inseto-Planta,3
14,Limnologia,10
14,Peixes,3
14,Radioisotopos,1
14,Riachos,2
14,Vertebrados,14
14,NA,17
16,Inseto-Planta,2
16,LECP,2
16,LEI,4
16,Limnologia,6
16,Riachos,2
16,Vertebrados,4
16,NA,6
18,Biofisica,2
18,IIS,1
18,Inseto-Planta,1
18,Limnologia,2
18,Rod Leao,1
18,Vertebrados,4
18,NA,11
19,Ecologia Vegetal,2
19,Inseto-Planta,1
19,LEI,1
19,Limnologia,4
19,Peixes,3
19,Vertebrados,8
19,NA,3
20,Bentos,2
20,IIS,3
20,Inseto-Planta,4
20,LBTP,1
20,LECP,3
20,LEPAI,1
20,Limnologia,14
20,Peixes,2
20,Polinizacao,1
20,Radioisotopos,2
20,Vertebrados,11
20,NA,2
